iter	MultiClass
0	1.915067594
1	1.882077315
2	1.851868717
3	1.83036022
4	1.80745431455	1.78455251866	1.75826813877	1.7379902468	1.72687063
9	19	1.708974510	10	1.694047511111	1.678413712112	1.65876313	13	1.6428914	1.14	1.6306915	1.15	1.6177616	1.16	1.5950917	1717	1.5809318	1818	1.5666219	1.19	1.5591920	2020	1.5492621	2121	1.536702222	22	1.5247423	1.23	1.5153024	1.24	1.5058525	1.25	1.4958026	1.26	1.4860227	1.27	1.4778228	128	1.46810229	129	1.4577830	1.30	1.4462431	131	1.43686532	132	1.43059633	133	1.42228934	134	1.40876135	135	1.401447698
36	1.390223021
37	1.380967069
38	1.373591569
39	1.364522723
40	1.353686905
41	1.343644355
42	1.334086127
43	1.325486345
44	1.317322699
45	1.310143621
46	1.303778194
47	1.299335224
48	1.294838311
49	1.290394289
50	1.282651516
51	1.278718458
52	1.27364408
53	1.265623955
54	1.257191036
55	1.251804171
56	1.246065157
57	1.242556616
58	1.235912742
59	1.229912754
60	1.221991775
61	1.216941708
62	1.20977311
63	1.205323563
64	1.200672072
65	1.195695269
66	1.190587486
67	1.185257428
68	1.179566364
69	1.174964623
70	1.172299029
71	1.165877312
72	1.160447656
73	1.157941535
74	1.153376998
75	1.148765977
76	1.144308382
77	1.141564829
78	1.137058926
79	1.132467152
80	1.125950529
81	1.121770852
82	1.116723262
83	1.112244023
84	1.106943095
85	1.103770671
86	1.098869314
87	1.094767826
88	1.090110038
89	1.085231984
90	1.078406048
91	1.073339045
92	1.070087785
93	1.065379634
94	1.061136153
95	1.05706317
96	1.05364216
97	1.049375781
98	1.04647281
99	1.042498247
100	1.038600165
101	1.035010561
102	1.029981464
103	1.027092493
104	1.022866687
105	1.018305753
106	1.015202377
107	1.012656175
108	1.007425749
109	1.003082178
110	1.000515863
111	0.9956613525
112	0.9908143804
113	0.9880881097
114	0.9850169627
115	0.9827990681
116	0.979551396
117	0.9766587642
118	0.9747237243
119	0.9712985052
120	0.9663679117
121	0.9622409377
122	0.9586592391
123	0.95444933
124	0.9509240456
125	0.9475040458
126	0.9435303278
127	0.9404342949
128	0.9365575311
129	0.9325787059
130	0.9299153714
131	0.926569925
132	0.9244280769
133	0.9201463358
134	0.9168017354
135	0.9134847605
136	0.9109853433
137	0.9085506543
138	0.9056499831
139	0.9021003228
140	0.8993140099
141	0.8950974225
142	0.8915429831
143	0.8871836333
144	0.883094309
145	0.8810577863
146	0.8775365954
147	0.8745415403
148	0.8724372129
149	0.8686536268
150	0.865130692
151	0.86250360152152	0.86077115153153	0.8575035215154	0.8541990591155	0.85199492715156	0.849779338157	0.8819671913
158	0.8798672355
159	0.877393846
160	0.8749690665
161	0.8717711615
162	0.8688691603
163	0.8667464789
164	0.8645821785
165	0.8620457973
166	0.8584697201
167	0.8564687717
168	0.8539663181
169	0.8520139138
170	0.8498039866
171	0.8470548397
172	0.8446609604
173	0.8417519145
174	0.8389809942
175	0.836549776
176	0.834308856
177	0.832075567
178	0.8300079071
179	0.8283081797
180	0.8255047556
181	0.8236581461
182	0.8216173401
183	0.8187545987
184	0.816022416
185	0.8138143877
186	0.8115111227
187	0.8089430306
188	0.807682925
189	0.8060756214
190	0.8037201362
191	0.8015825113
192	0.7997445193
193	0.7981265527
194	0.7972928074
195	0.7958093585
196	0.7934421809
197	0.7918585362
198	0.7894685666
199	0.7863580724
200	0.7832286609
201	0.7822085464
202	0.7800683973
203	0.7783151306
204	0.777123974
205	0.7761050403
206	0.773745744
207	0.7716682103
208	0.7694497671
209	0.7676106222
210	0.7645394298
211	0.7635117519
212	0.762490639
213	0.7599092662
214	0.7584376785
215	0.7563216568
216	0.7547088519
217	0.7526007355
218	0.7499626775
219	0.7472736574
220	0.7462625394
221	0.7431765314
222	0.740814215
223	0.7387564323
224	0.7373303787
225	0.7354924595
226	0.7324370912
227	0.7294546679
228	0.7267950311
229	0.7249247178
230	0.7225977631
231	0.7209273335
232	0.71964704
233	0.7177011045
234	0.7161003882
235	0.713347913
236	0.71129652
237	0.7090735072
238	0.7065562138
239	0.704260042
240	0.7017768862
241	0.6998907504
242	0.6975234041
243	0.696018453
244	0.6939764584
245	0.6924217293
246	0.6912946592
247	0.6896125588
248	0.6881791766
249	0.6867387795
250	0.6851143917
251	0.6834710283
252	0.6820786437
253	0.6807231919
254	0.6789753906
255	0.6761312623
256	0.6751497853
257	0.6732733729
258	0.6722615982
259	0.6705844208
260	0.6677613716
261	0.6661488937
262	0.6645260975
263	0.6631229189
264	0.6615079631
265	0.6602057486
266	0.6588997984
267	0.6569951902
268	0.6557983896
269	0.6546988991
270	0.653180674
271	0.651817585
272	0.6507157579
273	0.6497624799
274	0.6488572978
275	0.6467549672
276	0.6453089931
277	0.6437175315
278	0.6425613791
279	0.6410400934
280	0.6395729254
281	0.6382492375
282	0.6370387976
283	0.6352551098
284	0.6337304772
285	0.6325509132
286	0.6310297955
287	0.630064123
288	0.6291900165
289	0.6281110018
290	0.6265573815
291	0.6258799016
292	0.6245158686
293	0.623019486
294	0.621242975
295	0.6206571772
296	0.6198403543
297	0.6179930715
298	0.6159470727
299	0.6148331769
300	0.6135174213
301	0.611425851
302	0.610529044
303	0.6091785761
304	0.6076325387
305	0.6071331798
306	0.6059060525
307	0.604141033
308	0.6020044906
309	0.6013808459
310	0.6007019443
311	0.5996860532
312	0.5981646742
313	0.5970003387
314	0.5953863641
315	0.5940370554
316	0.5928830993
317	0.5923401406
318	0.5917478877
319	0.5896692874
320	0.5881856461
321	0.5869488918
322	0.5859621613
323	0.58387347
324	0.5825511122
325	0.5813310218
326	0.5792661881
327	0.5787209435
328	0.5774971
329	0.5766457685
330	0.5755019321
331	0.5744217365
332	0.5736606732
333	0.5722891359
334	0.5706911317
335	0.5694238135
336	0.5676415112
337	0.5665935636
338	0.5654160677
339	0.5644695772
340	0.5635127619
341	0.5620384344
342	0.560976651
343	0.5603178058
344	0.5593412559
345	0.5581290232
346	0.5570524664
347	0.5554616899
348	0.553786777
349	0.5523414619
350	0.5516438959
351	0.5507954426
352	0.5502513354
353	0.5487795644
354	0.5478344868
355	0.5468747477
356	0.5456140942
357	0.5442525482
358	0.5427588422
359	0.5421846138
360	0.5411537647
361	0.5399766502
362	0.5390124425
363	0.5383835898
364	0.5375865294
365	0.5368739637
366	0.536348626
367	0.5357995927
368	0.5347937281
369	0.5342309351
370	0.5331928859
371	0.5322656742
372	0.5312975693
373	0.5300019935
374	0.5289963144
375	0.5282951851
376	0.5267396074
377	0.5261775161
378	0.5257617594
379	0.5245104037
380	0.5238696015
381	0.5232245816
382	0.5218309533
383	0.5209773532
384	0.5200736527
385	0.5179035731
386	0.5171347911
387	0.5158585817
388	0.5149206845
389	0.5132323263
390	0.5128429883
391	0.5114107544
392	0.5105146228
393	0.5093200487
394	0.5084784337
395	0.5070080018
396	0.5059438866
397	0.5052216316
398	0.5039292187
399	0.5032556903
400	0.5012265928
401	0.5003311752
402	0.4994947653
403	0.4980618912
404	0.497309525
405	0.4967575243
406	0.4959506844
407	0.4945935173
408	0.4930904955
409	0.4916358826
410	0.4903217825
411	0.4892139915
412	0.4877880906
413	0.4870924736
414	0.4857884055
415	0.4844934593
416	0.4835296183
417	0.4823791128
418	0.4810129578
419	0.4805835312
420	0.4801127137
421	0.4795874929
422	0.4787925816
423	0.4778320292
424	0.4772793271
425	0.4766746931
426	0.4762277463
427	0.4749747445
428	0.4741594543
429	0.4735053981
430	0.4727981728
431	0.4718929303
432	0.4714715931
433	0.4707456655
434	0.46951991
435	0.4683052633
436	0.4673964628
437	0.4658996104
438	0.4650399436
439	0.4641215331
440	0.4633524655
441	0.4621047539
442	0.4610317652
443	0.459865406
444	0.4589065532
445	0.4582338325
446	0.4574642809
447	0.4569299378
448	0.4559727231
449	0.4550925028
450	0.4541396715
451	0.4536065657
452	0.4527230852
453	0.4517966335
454	0.4507053442
455	0.4504384792
456	0.4498919851
457	0.4491005688
458	0.4481941603
459	0.4477691521
460	0.4466342102
461	0.4461966086
462	0.4457689537
463	0.4453005039
464	0.4439495458
465	0.4435076029
466	0.4425758341
467	0.4421655036
468	0.4411741604
469	0.439605636
