iter	Passed	Remaining
0	26	26819
1	48	24048
2	70	23523
3	138	34390
4	201	40096
5	282	46763
6	442	62822
7	597	74126
8	706	77779
9	759	75192
10	805	72381
11	832	68544
12	853	64811
13	873	61490
14	894	58712
15	932	57351
16	962	55630
17	987	53858
18	1023	52863
19	1047	51337
20	1084	50538
21	1109	49311
22	1137	48309
23	1165	47378
24	1192	46519
25	1225	45920
26	1264	45586
27	1303	45240
28	1340	44873
29	1366	44199
30	1387	43376
31	1407	42575
32	1435	42074
33	1465	41623
34	1486	40976
35	1505	40322
36	1527	39765
37	1548	39195
38	1568	38660
39	1588	38131
40	1612	37716
41	1631	37214
42	1650	36724
43	1669	36281
44	1694	35958
45	1716	35594
46	1738	35241
47	1762	34946
48	1783	34608
49	1804	34288
50	1824	33950
51	1843	33606
52	1863	33289
53	1883	33003
54	1907	32766
55	1933	32593
56	1958	32397
57	1977	32121
58	1999	31896
59	2022	31690
60	2043	31458
61	2063	31223
62	2083	30985
63	2107	30824
64	2128	30621
65	2148	30410
66	2171	30233
67	2192	30054
68	2215	29887
69	2237	29729
70	2264	29631
71	2290	29517
72	2310	29342
73	2334	29215
74	2358	29091
75	2386	29013
76	2421	29029
77	2443	28886
78	2469	28793
79	2494	28685
80	2517	28564
81	2539	28432
82	2559	28275
83	2578	28118
84	2598	27968
85	2620	27855
86	2644	27748
87	2665	27623
88	2685	27490
89	2704	27344
90	2727	27247
91	2748	27130
92	2771	27032
93	2793	26923
94	2817	26844
95	2837	26721
96	2856	26596
97	2875	26464
98	2893	26332
99	2915	26240
100	2944	26210
101	2973	26182
102	2991	26051
103	3009	25925
104	3027	25802
105	3048	25707
106	3069	25618
107	3089	25517
108	3115	25469
109	3155	25527
110	3180	25468
111	3200	25372
112	3230	25355
113	3253	25284
114	3273	25189
115	3299	25144
116	3320	25057
117	3344	24995
118	3366	24919
119	3392	24879
120	3414	24804
121	3435	24721
122	3454	24633
123	3472	24531
124	3491	24440
125	3509	24341
126	3529	24259
127	3547	24167
128	3564	24066
129	3581	23971
130	3600	23885
131	3618	23793
132	3636	23702
133	3660	23656
134	3680	23579
135	3702	23524
136	3720	23436
137	3741	23370
138	3760	23295
139	3780	23221
140	3800	23150
141	3819	23079
142	3837	22998
143	3856	22924
144	3873	22843
145	3894	22778
146	3915	22718
147	3933	22644
148	3951	22565
149	3969	22492
150	3989	22430
151	4007	22357
152	4026	22292
153	4048	22237
154	4072	22199
155	4097	22165
156	4124	22147
157	4144	22087
158	4163	22023
159	4186	21980
160	4208	21929
161	4230	21881
162	4252	21836
163	4279	21814
164	4307	21799
165	4326	21735
166	4347	21684
167	4370	21642
168	4391	21591
169	4410	21535
170	4430	21480
171	4453	21438
172	4473	21384
173	4493	21330
174	4511	21270
175	4531	21215
176	4552	21170
177	4573	21120
178	4597	21086
179	4617	21037
180	4637	20984
181	4658	20938
182	4680	20895
183	4698	20837
184	4716	20780
185	4736	20727
186	4754	20669
187	4772	20611
188	4789	20553
189	4809	20501
190	4828	20452
191	4846	20397
192	4863	20337
193	4886	20301
194	4916	20296
195	4945	20284
196	4969	20254
197	4992	20224
198	5013	20181
199	5037	20150
200	5061	20119
201	5081	20074
202	5113	20077
203	5136	20040
204	5160	20013
205	5183	19980
206	5210	19961
207	5230	19915
208	5261	19913
209	5283	19875
210	5315	19875
211	5344	19864
212	5368	19835
213	5392	19805
214	5413	19766
215	5451	19785
216	5485	19792
217	5518	19795
218	5561	19835
219	5585	19803
220	5625	19827
221	5697	19965
222	5782	20146
223	5829	20194
224	5855	20170
225	5893	20182
226	5921	20165
227	5949	20146
228	5981	20137
229	6000	20088
230	6023	20052
231	6046	20017
232	6066	19971
233	6095	19955
234	6127	19946
235	6154	19923
236	6180	19897
237	6231	19950
238	6265	19949
239	6296	19938
240	6330	19938
241	6361	19925
242	6402	19946
243	6441	19957
244	6480	19970
245	6512	19959
246	6545	19955
247	6572	19930
248	6596	19896
249	6619	19859
250	6638	19809
251	6655	19754
252	6674	19708
253	6693	19657
254	6714	19616
255	6732	19565
256	6750	19515
257	6778	19493
258	6797	19447
259	6815	19398
260	6832	19345
261	6852	19301
262	6874	19263
263	6890	19210
264	6907	19158
265	6924	19106
266	6941	19055
267	6957	19004
268	6975	18954
269	6991	18903
270	7008	18854
271	7024	18800
272	7040	18748
273	7057	18699
274	7073	18647
275	7089	18597
276	7106	18547
277	7122	18497
278	7138	18448
279	7155	18400
280	7172	18352
281	7188	18303
282	7206	18258
283	7223	18210
284	7239	18163
285	7256	18115
286	7273	18069
287	7289	18022
288	7309	17982
289	7326	17936
290	7343	17891
291	7360	17845
292	7376	17798
293	7393	17755
294	7410	17708
295	7431	17673
296	7449	17633
297	7467	17592
298	7486	17552
299	7504	17510
300	7534	17497
301	7563	17481
302	7589	17459
303	7610	17424
304	7629	17385
305	7648	17346
306	7669	17313
307	7689	17276
308	7706	17232
309	7724	17192
310	7746	17161
311	7765	17124
312	7786	17091
313	7805	17052
314	7824	17015
